stn,habitat,L,w,r_width,elev,S_TP,S_TN,S_pH,S_TOC,S_moist,gr,vcs,cs,ms,fs,vfs,sc
BR1,Rapid,323.897,30.175,21.24,616,1.069,34.64,8.02,2.24,23.78,7.79,18.06,34.81,22.78,9.85,2.98,1.16
BR2,Rapid,215.412,13.123,9.83,613,1.024,32.82,8.43,1.41,23.37,18.33,23.53,25.9,15.6,7.35,2.16,1.58
BR3,Rapid,74.362,12.756,30.39,605,0.883,23.08,8.33,3.06,19.55,31.38,35.61,18.52,3.21,1.48,0.73,1.01
BR4,Rapid,91.2,19.1,51.18,536,0.847,43.4,6.82,2.24,19.27,5.72,21.37,43.1,13.76,4.2,0.91,0.67
BR5,Rapid,51.5,27.7,45.17,535,0.865,30.19,8.41,1.96,20.7,14.74,16.29,31.3,12.26,5.97,1.37,1.12
BR6,Rapid,142,12.5,20.52,533,0.826,24.24,8.04,0.87,24.67,4.33,10.36,11.17,5.42,3.6,2.13,2.48
BR7,Rapid,111.676,14.43,46.75,443,0.601,40.1,7.85,1.69,14.53,25.14,18.03,13.78,5.26,3.15,2.56,1.93
BR8,Rapid,85.553,9.705,142.72,440,0.552,37.63,8.12,0.04,26.93,12.63,14.88,18.55,8.54,5.46,2.99,3.61
BR9,Rapid,83.153,22.367,44.29,437,0.531,32.93,8.21,5.26,29.55,18.51,15.99,16.9,8,5.72,3.41,3.37
JR1,Rapid,190.693,5.56,35.23,1318,0.31,9.86,8.65,0.87,7.46,14.87,5.11,3.39,2.91,4.65,3.19,3.65
JR2,Rapid,132.872,8.806,23.7,1316,0.387,11.77,8.65,2.79,25.56,0.85,3.64,9.28,7.36,8.58,12.9,52.66
JR3,Rapid,78.416,6.109,34.11,1314,0.407,9.6,8.43,1.41,31.27,1.63,5.5,9.95,8.48,7.41,7.82,33.29
JR5,Rapid,492.454,23.314,117.84,852,0.312,13.05,8.62,0.87,23.88,0.38,1.42,2.25,1.43,1.17,8.8,81.23
JR6,Rapid,167,29.4,45.84,852,0.377,14.47,9.2,0.32,10.42,29.82,12.08,6.46,3.58,3.64,1.58,2.29
JR7,Rapid,77.2,34.2,58.11,415,0.597,73.5,9.05,0.32,22.86,37.98,15.2,9.96,5.49,2.55,3.45,7.26
JR8,Rapid,218,39.653,82.04,412,0.202,8.01,9.45,0.04,11.76,16.82,33.39,42.26,5.71,0.33,0.08,0.03
JR9,Rapid,242,50.523,80.81,414,0.388,19.78,7.77,0.59,14.62,58.01,22.89,4.88,0.56,0.19,0.17,0.17
WR1,Rapid,202.067,19.2,137.07,428,0.774,142.57,8.33,1.03,7.03,0.17,2.82,41.1,32.17,16.21,4.36,1.54
WR2,Rapid,302.092,30.393,236.85,428,0.708,66.1,8.95,0,12.47,10.47,8.16,24.52,17.01,8.68,1.44,0.25
WR3,Rapid,187.225,45.369,109.33,427,0.406,56.32,8.62,0,17.74,0.56,3.32,50.1,39.79,2.33,0.08,0.02
WR4,Rapid,77.606,10.458,72.41,392,0.653,9.38,8.78,0.26,14.56,2.43,2.34,22.96,51.47,14.12,1.16,0.11
WR6,Rapid,327.376,87.619,189.55,390,0.46,64.37,8.96,2.06,11.04,0.06,0.3,10.83,59.31,23,4.82,0.21
FP4,Pool,24.722,6.316,14.53,423,3.418,87.4,7.41,4.16,88.18,4.88,13.26,28.95,17.18,21.76,4.55,4.15
FP5,Pool,57.904,17.786,17.75,430,2.515,127.86,7.73,1.96,33.25,3.29,2.47,2.45,25.51,54.34,5.16,3.24
FP6,Pool,21.717,7.549,15.35,428,3.89,242.37,7.35,4.99,173.22,9.34,6.66,8.1,14.46,34.59,15.68,5.92
FP9,Pool,48.866,16.548,40.96,399,1.073,70.19,8.82,0.04,29.28,23,17.87,16.26,9.45,6.61,5.85,16.26
CP1,Pool,6.88,1.76,4.9,622,0.965,18.8,7.72,2.51,15.09,24.87,22.42,19.16,7.73,4.98,2.7,2.5
